stream,metric,method,bwt,memory_mb,p99_ms,near_rt,vs_ref,ci,d_z,p,holm,avg_perf,forgetting
sched-shift,forgetting,lwf,,0.761,0.89,True,-0.0076,"[-0.0094, -0.0056]",-3.16,0.0652,,,"-0.0001 [-0.0003, 0.0003]"
sched-shift,forgetting,nestedric,,3.999,2.19,True,-0.0247,"[-0.0296, -0.0209]",-4.43,0.0652,,,"-0.0172 [-0.0209, -0.0141]"
sched-shift,forgetting,replay,,3.998,0.91,True,,,,,,,"0.0075 [0.0056, 0.0094]"
sched-shift,forgetting,si,,3.043,0.91,True,-0.0063,"[-0.0083, -0.0044]",-2.58,0.0652,,,"0.0012 [0.0004, 0.0022]"
sched-shift,forgetting,titans,,4.0,1.0,True,-0.0069,"[-0.0090, -0.0047]",-2.5,0.0652,,,"0.0006 [0.0001, 0.0010]"
slice-shift,forgetting,agem,,3.998,1.0,True,-0.0028,"[-0.0039, -0.0017]",-1.85,0.0652,,,"0.0003 [-0.0001, 0.0007]"
slice-shift,forgetting,bilevel,,0.761,0.93,True,+0.0071,"[+0.0045, +0.0114]",1.52,0.0652,,,"0.0103 [0.0069, 0.0149]"
slice-shift,forgetting,ewc,,1.522,0.97,True,+0.0086,"[+0.0070, +0.0102]",4.28,0.0652,,,"0.0118 [0.0096, 0.0139]"
slice-shift,forgetting,finetune,,0.0,0.91,True,+0.0081,"[+0.0062, +0.0097]",3.56,0.0652,,,"0.0113 [0.0093, 0.0127]"
slice-shift,forgetting,joint,,0.0,0.92,True,-0.0031,"[-0.0040, -0.0022]",-2.62,0.0652,,,"0.0000 [0.0000, 0.0000]"
slice-shift,forgetting,lwf,,0.761,0.89,True,+0.0007,"[-0.0008, +0.0021]",0.37,0.508,,,"0.0038 [0.0022, 0.0047]"
slice-shift,forgetting,nestedric,,3.999,2.39,True,+0.0095,"[+0.0056, +0.0130]",1.97,0.0652,,,"0.0126 [0.0094, 0.0160]"
slice-shift,forgetting,replay,,3.998,1.08,True,,,,,,,"0.0031 [0.0022, 0.0040]"
slice-shift,forgetting,si,,3.043,0.96,True,+0.0024,"[-0.0004, +0.0050]",0.71,0.2581,,,"0.0055 [0.0037, 0.0073]"
slice-shift,forgetting,titans,,4.0,1.06,True,+0.0085,"[+0.0071, +0.0102]",4.43,0.0652,,,"0.0116 [0.0102, 0.0128]"
